,waktu,username,tweet
95,2022-06-15 07:37:32,AdilSyedz,@Noorullah_PTM Sub dalal hai koi b aisa nai karega jub tak tor get se ordr nai ata lakin ap logo ko b itna jaldi ba… https://t.co/rm4YR4saGE
96,2022-06-15 07:08:51,naveed24492132,@GaziAmirGujar is @OfficialDGISPR  KI Dhoom kahan pohancha diya asim saleem or a hero gen. asif ghafor ny. ik asif… https://t.co/8h1kuIaOLM
97,2022-06-15 06:35:39,onminho1209,"@brgsjks happen to me last week , ada PTM day at kindergarten and principal let us teachers duduk dekat kerusi buda… https://t.co/XAaztejGoO"
98,2022-06-15 06:28:39,t0gopi,sakit2 badan PTM ye sejuk kemain dgn hypersecretion nyee tersedut2 hingus
99,2022-06-15 06:28:27,ForLou24,PTM SJWJUWI3 https://t.co/ZdYC9R8g26
100,2022-06-15 05:56:29,fsmephie,PTM GWEN https://t.co/YpWx3GWVWI
101,2022-06-15 05:51:47,Chris_gr26,"ptm, not again"
102,2022-06-15 05:46:31,princes__UwU,Ptm que bonita estoy alv uwu https://t.co/T5aMKMQkEy
103,2022-06-15 05:29:58,LilJavs,Ni Dr Strange ptm 😪
104,2022-06-15 05:28:40,soniadgrain,Kalo emang ada yg maunya kuliah reguler tapi sambil kerja ya sebenernya silahkan aja suka2 klean (apalagi PTM masih… https://t.co/OI4TxnAqed
105,2022-06-15 05:23:42,shanish26467039,"@SaleemKhanSafi Acha to ye kutta ptm Ka hai 
Theak"
106,2022-06-15 05:18:25,ditpsd_dikbud,Tahukah #SahabatSekolahDasar bahwa SKB 4 Menteri tentang Panduan Penyelenggaraan Pembelajaran di Masa Pandemi Covid… https://t.co/5iwnCaseiU
107,2022-06-15 05:15:57,PunkStrawberryy,@internet_userr wacala* ptm
108,2022-06-15 05:12:08,fxckedupdolly,@Yourchibipuppy JAJDJA KURI QUE PASA PTM
109,2022-06-15 05:04:50,PKMCIJERAH,"DETEKSI PTM dan Vaksinasi Covid 19 di kelurahan Gempol Sari Kota Bandung
@PKMCIJERAH @Bandung_Dinkes… https://t.co/4JdeRU66jt"
110,2022-06-15 05:02:57,gotaxlunar,"Se me iba a salir una pendejada. Ptm, AKDHKWA."
