waktu,username,tweet,tweet_cleaned,tweet_tokenization
6/9/2022 12:34,imigrasicilacap,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/hctasPk15A",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 12:31,BapasSemarang,"- KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/vwucuITUgw",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 12:31,Kanim_wonosobo,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/OygAgN54ZE",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 12:27,LapasSlawi,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/HBgTxKpODr",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:22,kemenkumhamjtg,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/d5xjvZhl7h",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 12:22,LapasPlantungan,"- KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/Cspttal8NX",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 8:13,bhp_semarang,"Kakanwil Kemenkumham Jateng A Yuspahruddin 

kegiatan kanwil kemenkumham jawa tengah https://t.co/DCXFLVkiKt… https://t.co/PCSEeDO0Zu",kakanwil kemenkumham jateng a yuspahruddin   kegiatan kanwil kemenkumham jawa tengah  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'kegiatan', 'kanwil', 'kemenkumham', 'jawa', 'tengah', '']"
6/9/2022 6:01,harian7_com,"Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu Menjaga Kerukunan Antar Narapidana Serta Mema… https://t.co/04DoEeFhWy",tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu menjaga kerukunan antar narapidana serta mema  ,"['tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', 'menjaga', 'kerukunan', 'antar', 'narapidana', 'serta', 'mema', '']"
6/8/2022 12:06,cootiepai,"@31Jisora pokjar itu kelompok belajar, setiap kota beda2, pokjar nanti nyediain dosen buat setiap kelas yg ada, keg… https://t.co/rDQ8XGQmd8", pokjar itu kelompok belajar  setiap kota beda   pokjar nanti nyediain dosen buat setiap kelas yg ada  keg  ,"['', 'pokjar', 'itu', 'kelompok', 'belajar', 'setiap', 'kota', 'beda', 'pokjar', 'nanti', 'nyediain', 'dosen', 'buat', 'setiap', 'kelas', 'yg', 'ada', 'keg', '']"
6/8/2022 7:00,idgafatinnnn,"Tapi susah ni nak cari crush dekat u. Dah la pergi kelas pakai mask, lepastu habis kelas pun semua pakat lari naik… https://t.co/YY49bGmYDW",tapi susah ni nak cari crush dekat you  dah la pergi kelas pakai mask  lepastu habis kelas pun semua pakat lari naik  ,"['tapi', 'susah', 'ni', 'nak', 'cari', 'crush', 'dekat', 'you', 'dah', 'la', 'pergi', 'kelas', 'pakai', 'mask', 'lepastu', 'habis', 'kelas', 'pun', 'semua', 'pakat', 'lari', 'naik', '']"
